Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters
04/01/1977 12:00:00 AM,3,11069,37554,,,
04/01/1977 12:00:00 AM,4,15786,38970,,,
04/01/1977 12:00:00 AM,5,10398,30105,,,
04/01/1977 12:00:00 AM,6,10048,28636,,,
04/01/1977 12:00:00 AM,7,17317,34874,,,
04/01/1977 12:00:00 AM,8,21152,38613,,,
04/01/1977 12:00:00 AM,9,13788,31728,,,
04/01/1977 12:00:00 AM,10,12165,41722,,,
04/01/1977 12:00:00 AM,11,11589,36889,,,
04/01/1977 12:00:00 AM,12,11897,35972,,,
04/01/1977 12:00:00 AM,13,10670,30560,,,
04/01/1977 12:00:00 AM,14,9410,32537,,,
04/01/1978 12:00:00 AM,1,14450,41406,,,
04/01/1978 12:00:00 AM,2,11688,32127,,,
04/01/1978 12:00:00 AM,3,11875,37820,,,
04/01/1978 12:00:00 AM,4,16277,38420,,,
04/01/1978 12:00:00 AM,5,13492,37718,,,
04/01/1978 12:00:00 AM,6,10503,28334,,,
04/01/1978 12:00:00 AM,7,18094,34563,,,
04/01/1978 12:00:00 AM,8,22003,37881,,,
04/01/1978 12:00:00 AM,9,14093,31528,,,
04/01/1978 12:00:00 AM,10,13218,42467,,,
04/01/1978 12:00:00 AM,11,11737,36346,,,
04/01/1978 12:00:00 AM,12,11940,35868,,,
04/01/1978 12:00:00 AM,13,13057,36387,,,
04/01/1978 12:00:00 AM,14,10032,34772,,,
04/01/1979 12:00:00 AM,1,15666,44858,,,
04/01/1979 12:00:00 AM,2,12781,34982,,,
04/01/1979 12:00:00 AM,3,12506,38868,,,
04/01/1979 12:00:00 AM,4,16643,38619,,,
04/01/1979 12:00:00 AM,5,16454,45954,,,
04/01/1979 12:00:00 AM,6,11311,29028,,,
04/01/1979 12:00:00 AM,7,18301,34247,,,
04/01/1979 12:00:00 AM,8,22848,37411,,,
04/01/1979 12:00:00 AM,9,14581,32196,,,
04/01/1979 12:00:00 AM,10,14207,44988,,,
04/01/1979 12:00:00 AM,11,11916,35456,,,
04/01/1979 12:00:00 AM,12,12067,34933,,,
04/01/1979 12:00:00 AM,13,14848,42792,,,
04/01/1979 12:00:00 AM,14,10582,36484,,,
04/01/1980 12:00:00 AM,1,16156,46316,,,
04/01/1980 12:00:00 AM,2,13993,38204,,,
04/01/1980 12:00:00 AM,3,14003,41822,,,
04/01/1980 12:00:00 AM,4,17098,39133,,,
04/01/1980 12:00:00 AM,5,18620,56047,,,
04/01/1980 12:00:00 AM,6,12141,30848,,,
04/01/1980 12:00:00 AM,7,19264,34933,,,
04/01/1980 12:00:00 AM,8,23985,38982,,,
04/01/1980 12:00:00 AM,9,14628,32921,,,
04/01/1980 12:00:00 AM,10,14626,47138,,,
04/01/1980 12:00:00 AM,11,12588,34847,,,
04/01/1980 12:00:00 AM,12,12031,34397,,,
04/01/1980 12:00:00 AM,13,16393,46773,,,
04/01/1980 12:00:00 AM,14,11217,38257,,,
04/01/1981 12:00:00 AM,1,16572,47315,,,
04/01/1981 12:00:00 AM,2,14834,40678,,,
04/01/1981 12:00:00 AM,3,15383,46381,,,
04/01/1981 12:00:00 AM,4,17409,39255,,,
04/01/1981 12:00:00 AM,5,21807,65466,,,
04/01/1981 12:00:00 AM,6,12852,32759,,,
04/01/1981 12:00:00 AM,7,19383,35905,,,
04/01/1981 12:00:00 AM,8,24371,41234,,,
04/01/1981 12:00:00 AM,9,15124,33199,,,
04/01/1981 12:00:00 AM,10,15079,48362,,,
04/01/1981 12:00:00 AM,11,12859,35629,,,
04/01/1981 12:00:00 AM,12,12065,33753,,,
04/01/1981 12:00:00 AM,13,18444,51808,,,
04/01/1981 12:00:00 AM,14,11860,40113,,,
04/01/1982 12:00:00 AM,1,16917,47889,,,
04/01/1982 12:00:00 AM,2,15896,43445,,,
04/01/1982 12:00:00 AM,3,16620,49330,,,
04/01/1982 12:00:00 AM,4,17781,39670,,,
04/01/1982 12:00:00 AM,5,24411,76381,,,
04/01/1982 12:00:00 AM,6,13739,33411,,,
04/01/1982 12:00:00 AM,7,19780,35728,,,
04/01/1982 12:00:00 AM,8,25406,42386,,,
04/01/1982 12:00:00 AM,9,15523,34065,,,
04/01/1982 12:00:00 AM,10,16085,50532,,,
04/01/1982 12:00:00 AM,11,13196,36432,,,
04/01/1982 12:00:00 AM,12,12688,33692,,,
04/01/1982 12:00:00 AM,13,20466,58351,,,
04/01/1982 12:00:00 AM,14,12802,41821,,,
04/01/1983 12:00:00 AM,1,17447,46616,,,
04/01/1983 12:00:00 AM,2,16494,44181,,,
04/01/1983 12:00:00 AM,3,16630,47110,,,
04/01/1983 12:00:00 AM,4,19074,41122,,,
04/01/1983 12:00:00 AM,5,18040,54926,,,
04/01/1983 12:00:00 AM,6,16265,38676,,,
04/01/1983 12:00:00 AM,7,19706,34363,,,
04/01/1983 12:00:00 AM,8,27493,40573,,,
04/01/1983 12:00:00 AM,9,21629,52250,,,
04/01/1983 12:00:00 AM,10,16787,52795,,,
04/01/1983 12:00:00 AM,11,11179,30527,,,
04/01/1983 12:00:00 AM,12,17852,46664,,,
04/01/1983 12:00:00 AM,13,17385,48755,,,
04/01/1983 12:00:00 AM,14,13415,42134,,,
04/01/1984 12:00:00 AM,1,17685,45775,,,
04/01/1984 12:00:00 AM,2,17251,45597,,,
04/01/1984 12:00:00 AM,3,16845,47463,,,
04/01/1984 12:00:00 AM,4,19287,39842,,,
04/01/1984 12:00:00 AM,5,18500,56330,,,
04/01/1984 12:00:00 AM,6,16421,38446,,,
04/01/1984 12:00:00 AM,7,19874,33073,,,
04/01/1984 12:00:00 AM,8,27352,40093,,,
04/01/1984 12:00:00 AM,9,22107,51445,,,
04/01/1984 12:00:00 AM,10,17025,51623,,,
04/01/1984 12:00:00 AM,11,11339,29758,,,
04/01/1984 12:00:00 AM,12,17848,45848,,,
04/01/1984 12:00:00 AM,13,17742,50814,,,
04/01/1984 12:00:00 AM,14,13931,43707,,,
04/01/1985 12:00:00 AM,1,17757,45907,,,
04/01/1985 12:00:00 AM,2,17698,47444,,,
04/01/1985 12:00:00 AM,3,16944,47685,,,
04/01/1985 12:00:00 AM,4,19239,39445,,,
04/01/1985 12:00:00 AM,5,18632,56618,,,
04/01/1985 12:00:00 AM,6,16527,38359,,,
04/01/1985 12:00:00 AM,7,19922,33955,,,
04/01/1985 12:00:00 AM,8,27270,40996,,,
04/01/1985 12:00:00 AM,9,22389,51080,,,
04/01/1985 12:00:00 AM,10,17167,51719,,,
04/01/1985 12:00:00 AM,11,11337,29448,,,
04/01/1985 12:00:00 AM,12,17889,45431,,,
04/01/1985 12:00:00 AM,13,18155,52538,,,
04/01/1985 12:00:00 AM,14,14109,44518,,,
04/01/1986 12:00:00 AM,1,17955,46752,,,
04/01/1986 12:00:00 AM,2,18356,49692,,,
04/01/1986 12:00:00 AM,3,17114,48702,,,
04/01/1986 12:00:00 AM,4,19117,39020,,,
04/01/1986 12:00:00 AM,5,19061,59082,,,
04/01/1986 12:00:00 AM,6,16724,39610,,,
04/01/1986 12:00:00 AM,7,19801,34362,,,
04/01/1986 12:00:00 AM,8,27122,42092,,,
04/01/1986 12:00:00 AM,9,22345,52217,,,
04/01/1986 12:00:00 AM,10,17214,52676,,,
04/01/1986 12:00:00 AM,11,11286,29338,,,
04/01/1986 12:00:00 AM,12,18079,45238,,,
04/01/1986 12:00:00 AM,13,18681,55377,,,
04/01/1986 12:00:00 AM,14,14529,46487,,,
04/01/1987 12:00:00 AM,1,18069,47089,,,
04/01/1987 12:00:00 AM,2,18685,50845,,,
04/01/1987 12:00:00 AM,3,17308,49132,,,
04/01/1987 12:00:00 AM,4,19066,39298,,,
04/01/1987 12:00:00 AM,5,19292,60756,,,
04/01/1987 12:00:00 AM,6,17136,39885,,,
04/01/1987 12:00:00 AM,7,19709,34787,,,
04/01/1987 12:00:00 AM,8,27055,41907,,,
04/01/1987 12:00:00 AM,9,22208,52195,,,
04/01/1987 12:00:00 AM,10,17269,53285,,,
04/01/1987 12:00:00 AM,11,11293,29257,,,
04/01/1987 12:00:00 AM,12,18092,44763,,,
04/01/1987 12:00:00 AM,13,19126,56374,,,
04/01/1987 12:00:00 AM,14,14854,47712,,,
04/01/1988 12:00:00 AM,1,18573,47418,,,
04/01/1988 12:00:00 AM,2,19350,52598,,,
04/01/1988 12:00:00 AM,3,17528,49765,,,
04/01/1988 12:00:00 AM,4,18998,39150,,,
04/01/1988 12:00:00 AM,5,19645,62965,,,
04/01/1988 12:00:00 AM,6,17514,40802,,,
04/01/1988 12:00:00 AM,7,19599,34273,,,
04/01/1988 12:00:00 AM,8,27004,42074,,,
04/01/1988 12:00:00 AM,9,22431,52892,,,
04/01/1988 12:00:00 AM,10,17309,54159,,,
04/01/1988 12:00:00 AM,11,11302,28723,,,
04/01/1988 12:00:00 AM,12,18358,44561,,,
04/01/1988 12:00:00 AM,13,19744,58161,,,
04/01/1988 12:00:00 AM,14,15549,49577,,,
04/01/1989 12:00:00 AM,1,18685,48468,,,
04/01/1989 12:00:00 AM,2,20020,54694,,,
04/01/1989 12:00:00 AM,3,17864,51099,,,
04/01/1989 12:00:00 AM,4,19121,38870,,,
04/01/1989 12:00:00 AM,5,19919,65462,,,
04/01/1989 12:00:00 AM,6,17728,42058,,,
04/01/1989 12:00:00 AM,7,19552,34173,,,
04/01/1989 12:00:00 AM,8,26829,42209,,,
04/01/1989 12:00:00 AM,9,22729,53993,,,
04/01/1989 12:00:00 AM,10,17335,54475,,,
04/01/1989 12:00:00 AM,11,11318,28596,,,
04/01/1989 12:00:00 AM,12,18349,44902,,,
04/01/1989 12:00:00 AM,13,20297,60239,,,
04/01/1989 12:00:00 AM,14,16225,51900,,,
04/01/1990 12:00:00 AM,1,19047,49443,,,
04/01/1990 12:00:00 AM,2,19058,52976,,,
04/01/1990 12:00:00 AM,3,18480,52852,,,
04/01/1990 12:00:00 AM,4,19146,39452,,,
04/01/1990 12:00:00 AM,5,20893,67861,,,
04/01/1990 12:00:00 AM,6,18610,43460,,,
04/01/1990 12:00:00 AM,7,22241,40534,,,
04/01/1990 12:00:00 AM,8,26852,43378,,,
04/01/1990 12:00:00 AM,9,23320,56030,,,
04/01/1990 12:00:00 AM,10,17459,55319,,,
04/01/1990 12:00:00 AM,11,11581,28957,,,
04/01/1990 12:00:00 AM,12,20960,51956,,,
04/01/1990 12:00:00 AM,13,18780,55790,,,
04/01/1990 12:00:00 AM,14,17325,54877,,,
04/01/1991 12:00:00 AM,1,19249,50196,,,
04/01/1991 12:00:00 AM,2,19525,56635,,,
04/01/1991 12:00:00 AM,3,18809,53940,,,
04/01/1991 12:00:00 AM,4,19165,39706,,,
04/01/1991 12:00:00 AM,5,21195,70050,,,
04/01/1991 12:00:00 AM,6,18994,45228,,,
04/01/1991 12:00:00 AM,7,22170,40366,,,
04/01/1991 12:00:00 AM,8,26732,43313,,,
04/01/1991 12:00:00 AM,9,23498,57769,,,
04/01/1991 12:00:00 AM,10,17537,55707,,,
04/01/1991 12:00:00 AM,11,11602,28780,,,
04/01/1991 12:00:00 AM,12,20977,51210,,,
04/01/1991 12:00:00 AM,13,19281,58020,,,
04/01/1991 12:00:00 AM,14,17863,57673,,,
04/01/1992 12:00:00 AM,1,19510,50648,,,
04/01/1992 12:00:00 AM,2,20414,58597,,,
04/01/1992 12:00:00 AM,3,19523,55323,,,
04/01/1992 12:00:00 AM,4,19180,39253,,,
04/01/1992 12:00:00 AM,5,21872,71794,,,
04/01/1992 12:00:00 AM,6,19495,46204,,,
04/01/1992 12:00:00 AM,7,22158,40201,,,
04/01/1992 12:00:00 AM,8,26753,41860,,,
04/01/1992 12:00:00 AM,9,24283,59206,,,
04/01/1992 12:00:00 AM,10,17741,55439,,,
04/01/1992 12:00:00 AM,11,11615,28918,,,
04/01/1992 12:00:00 AM,12,21040,50937,,,
04/01/1992 12:00:00 AM,13,19813,59348,,,
04/01/1992 12:00:00 AM,14,18542,59405,,,
04/01/1993 12:00:00 AM,1,19813,50864,,,
04/01/1993 12:00:00 AM,2,21732,62167,,,
04/01/1993 12:00:00 AM,3,19508,57732,,,
04/01/1993 12:00:00 AM,4,22076,47330,,,
04/01/1993 12:00:00 AM,5,18702,61254,,,
04/01/1993 12:00:00 AM,6,20095,47541,,,
04/01/1993 12:00:00 AM,7,25849,45460,,,
04/01/1993 12:00:00 AM,8,26896,41882,,,
04/01/1993 12:00:00 AM,9,19170,50410,,,
04/01/1993 12:00:00 AM,10,17951,55452,,,
04/01/1993 12:00:00 AM,11,20945,48110,,,
04/01/1993 12:00:00 AM,12,20243,53596,,,
04/01/1993 12:00:00 AM,13,18913,54404,,,
04/01/1993 12:00:00 AM,14,16143,51517,,,
04/01/1994 12:00:00 AM,1,20215,51235,,,
04/01/1994 12:00:00 AM,2,22991,66021,,,
04/01/1994 12:00:00 AM,3,20182,59184,,,
04/01/1994 12:00:00 AM,4,21967,46649,,,
04/01/1994 12:00:00 AM,5,19087,62239,,,
04/01/1994 12:00:00 AM,6,20628,48772,,,
04/01/1994 12:00:00 AM,7,25842,45166,,,
04/01/1994 12:00:00 AM,8,27010,41780,,,
04/01/1994 12:00:00 AM,9,19808,51976,,,
04/01/1994 12:00:00 AM,10,18200,55361,,,
04/01/1994 12:00:00 AM,11,20991,47600,,,
04/01/1994 12:00:00 AM,12,20517,54007,,,
04/01/1994 12:00:00 AM,13,19155,54654,,,
04/01/1994 12:00:00 AM,14,16759,53540,,,
04/01/1995 12:00:00 AM,1,20493,52090,,,
04/01/1995 12:00:00 AM,2,22557,65773,,,
04/01/1995 12:00:00 AM,3,20828,60713,,,
04/01/1995 12:00:00 AM,4,21962,46367,,,
04/01/1995 12:00:00 AM,5,19359,63187,,,
04/01/1995 12:00:00 AM,6,21129,49792,,,
04/01/1995 12:00:00 AM,7,27806,49656,,,
04/01/1995 12:00:00 AM,8,27062,41566,,,
04/01/1995 12:00:00 AM,9,20112,52072,,,
04/01/1995 12:00:00 AM,10,18321,55305,,,
04/01/1995 12:00:00 AM,11,21108,47363,,,
04/01/1995 12:00:00 AM,12,21162,54968,,,
04/01/1995 12:00:00 AM,13,19341,54921,,,
04/01/1995 12:00:00 AM,14,17534,55300,,,
04/01/1996 12:00:00 AM,1,20816,53039,,,
04/01/1996 12:00:00 AM,2,23761,69568,,,
04/01/1996 12:00:00 AM,3,21283,62270,,,
04/01/1996 12:00:00 AM,4,22053,46691,,,
04/01/1996 12:00:00 AM,5,19749,64747,,,
04/01/1996 12:00:00 AM,6,22197,52351,,,
04/01/1996 12:00:00 AM,7,27930,50635,,,
04/01/1996 12:00:00 AM,8,27026,43262,,,
04/01/1996 12:00:00 AM,9,20205,53042,,,
04/01/1996 12:00:00 AM,10,18481,55627,,,
04/01/1996 12:00:00 AM,11,21149,47766,,,
04/01/1996 12:00:00 AM,12,21451,55702,,,
04/01/1996 12:00:00 AM,13,19472,55002,,,
