Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters
04/01/2006 12:00:00 AM,8,41494,65873,,,
04/01/2006 12:00:00 AM,9,29713,62051,,,
04/01/2006 12:00:00 AM,10,20895,56726,,,
04/01/2006 12:00:00 AM,11,29727,65684,,,
04/01/2006 12:00:00 AM,12,32445,81147,,,
04/01/2006 12:00:00 AM,13,29193,76144,,,
04/01/2006 12:00:00 AM,14,20434,58236,,,
04/01/2007 12:00:00 AM,1,35869,89576,,,
04/01/2007 12:00:00 AM,2,26587,77687,,,
04/01/2007 12:00:00 AM,3,30838,91092,,,
04/01/2007 12:00:00 AM,4,28385,73207,,,
04/01/2007 12:00:00 AM,5,19235,60462,,,
04/01/2007 12:00:00 AM,6,33986,80723,,,
04/01/2007 12:00:00 AM,7,32027,61265,,,
04/01/2007 12:00:00 AM,8,42141,67032,,,
04/01/2007 12:00:00 AM,9,29771,62364,,,
04/01/2007 12:00:00 AM,10,24547,65212,,,
04/01/2007 12:00:00 AM,11,29917,65627,,,
04/01/2007 12:00:00 AM,12,35162,86669,,,
04/01/2007 12:00:00 AM,13,30657,80136,,,
04/01/2007 12:00:00 AM,14,21189,58890,,,
04/01/2008 12:00:00 AM,1,36349,92186,,,
04/01/2008 12:00:00 AM,2,26884,77831,,,
04/01/2008 12:00:00 AM,3,33332,99077,,,
04/01/2008 12:00:00 AM,4,28509,72351,,,
04/01/2008 12:00:00 AM,5,19416,60293,,,
04/01/2008 12:00:00 AM,6,35181,84112,,,
04/01/2008 12:00:00 AM,7,33125,61418,,,
04/01/2008 12:00:00 AM,8,43994,66916,,,
04/01/2008 12:00:00 AM,9,29889,62568,,,
04/01/2008 12:00:00 AM,10,24829,64484,,,
04/01/2008 12:00:00 AM,11,30041,65902,,,
04/01/2008 12:00:00 AM,12,37731,92933,,,
04/01/2008 12:00:00 AM,13,31652,82838,,,
04/01/2008 12:00:00 AM,14,22065,59983,,,
04/01/2009 12:00:00 AM,1,36709,93437,,,
04/01/2009 12:00:00 AM,2,27232,78944,,,
04/01/2009 12:00:00 AM,3,34473,105675,,,
04/01/2009 12:00:00 AM,4,28589,72245,,,
04/01/2009 12:00:00 AM,5,19631,60517,,,
04/01/2009 12:00:00 AM,6,35556,86453,,,
04/01/2009 12:00:00 AM,7,33325,62715,,,
04/01/2009 12:00:00 AM,8,44468,67359,,,
04/01/2009 12:00:00 AM,9,30397,62097,,,
04/01/2009 12:00:00 AM,10,24961,64109,,,
04/01/2009 12:00:00 AM,11,30090,65817,,,
04/01/2009 12:00:00 AM,12,38835,98490,,,
04/01/2009 12:00:00 AM,13,31912,85429,,,
04/01/2009 12:00:00 AM,14,22485,62168,,,
04/01/2010 12:00:00 AM,1,33122,83009,,,
04/01/2010 12:00:00 AM,2,24552,69961,,,
04/01/2010 12:00:00 AM,3,27550,85561,,,
04/01/2010 12:00:00 AM,4,32816,85424,,,
04/01/2010 12:00:00 AM,5,25929,77506,,,
04/01/2010 12:00:00 AM,6,29952,75642,,,
04/01/2010 12:00:00 AM,7,39629,76437,,,
04/01/2010 12:00:00 AM,8,50009,77562,,,
04/01/2010 12:00:00 AM,9,35256,72303,,,
04/01/2010 12:00:00 AM,10,29216,73446,,,
04/01/2010 12:00:00 AM,11,36087,77818,,,
04/01/2010 12:00:00 AM,12,25588,67438,,,
04/01/2010 12:00:00 AM,13,29618,79467,,,
04/01/2010 12:00:00 AM,14,26131,69941,,,
04/01/2011 12:00:00 AM,1,33605,83125,,,
04/01/2011 12:00:00 AM,2,25211,72370,,,
04/01/2011 12:00:00 AM,3,28753,89862,,,
04/01/2011 12:00:00 AM,4,32865,84511,,,
04/01/2011 12:00:00 AM,5,26021,77648,,,
04/01/2011 12:00:00 AM,6,30384,77296,,,
04/01/2011 12:00:00 AM,7,39693,76493,,,
04/01/2011 12:00:00 AM,8,49466,79230,,,
04/01/2011 12:00:00 AM,9,35422,72427,,,
04/01/2011 12:00:00 AM,10,29269,73864,,,
04/01/2011 12:00:00 AM,11,36184,79111,,,
04/01/2011 12:00:00 AM,12,27512,73416,,,
04/01/2011 12:00:00 AM,13,29981,80332,,,
04/01/2011 12:00:00 AM,14,26586,71251,,,
04/01/2012 12:00:00 AM,1,33767,84707,,,
04/01/2012 12:00:00 AM,2,26333,75010,,,
04/01/2012 12:00:00 AM,3,30272,96228,,,
04/01/2012 12:00:00 AM,4,32883,84949,,,
04/01/2012 12:00:00 AM,5,26126,78766,,,
04/01/2012 12:00:00 AM,6,31138,79627,,,
04/01/2012 12:00:00 AM,7,39993,78676,,,
04/01/2012 12:00:00 AM,8,50010,81020,,,
04/01/2012 12:00:00 AM,9,35849,73806,,,
04/01/2012 12:00:00 AM,10,29443,74873,,,
04/01/2012 12:00:00 AM,11,36281,79941,,,
04/01/2012 12:00:00 AM,12,30085,78832,,,
04/01/2012 12:00:00 AM,13,30097,81528,,,
04/01/2012 12:00:00 AM,14,27062,72262,,,
04/01/2013 12:00:00 AM,1,34039,86179,,,
04/01/2013 12:00:00 AM,2,27731,78815,,,
04/01/2013 12:00:00 AM,3,28184,88639,,,
04/01/2013 12:00:00 AM,4,33009,86150,,,
04/01/2013 12:00:00 AM,5,30173,95350,,,
04/01/2013 12:00:00 AM,6,31633,81644,,,
04/01/2013 12:00:00 AM,7,40034,79726,,,
04/01/2013 12:00:00 AM,8,50995,82527,,,
04/01/2013 12:00:00 AM,9,35916,75234,,,
04/01/2013 12:00:00 AM,10,29506,76344,,,
04/01/2013 12:00:00 AM,11,36346,81059,,,
04/01/2013 12:00:00 AM,12,32827,86884,,,
04/01/2013 12:00:00 AM,13,30200,83351,,,
04/01/2013 12:00:00 AM,14,27765,74784,,,
04/01/2014 12:00:00 AM,1,34573,87605,,,
04/01/2014 12:00:00 AM,2,28918,83609,,,
04/01/2014 12:00:00 AM,3,29943,96133,,,
04/01/2014 12:00:00 AM,4,33010,86375,,,
04/01/2014 12:00:00 AM,5,30335,96489,,,
04/01/2014 12:00:00 AM,6,32153,84803,,,
04/01/2014 12:00:00 AM,7,40599,81989,,,
04/01/2014 12:00:00 AM,8,51569,85609,,,
04/01/2014 12:00:00 AM,9,36388,76481,,,
04/01/2014 12:00:00 AM,10,29933,78443,,,
04/01/2014 12:00:00 AM,11,36608,82041,,,
04/01/2014 12:00:00 AM,12,35342,94933,,,
04/01/2014 12:00:00 AM,13,30280,84258,,,
04/01/2014 12:00:00 AM,14,28572,76426,,,
04/01/2015 12:00:00 AM,1,34814,88334,,,
04/01/2015 12:00:00 AM,2,31434,89190,,,
04/01/2015 12:00:00 AM,3,31694,102048,,,
04/01/2015 12:00:00 AM,4,33036,87017,,,
04/01/2015 12:00:00 AM,5,30555,97921,,,
04/01/2015 12:00:00 AM,6,32523,86558,,,
04/01/2015 12:00:00 AM,7,42248,84075,,,
04/01/2015 12:00:00 AM,8,53963,87858,,,
04/01/2015 12:00:00 AM,9,37030,77811,,,
04/01/2015 12:00:00 AM,10,30082,79260,,,
04/01/2015 12:00:00 AM,11,36644,83140,,,
04/01/2015 12:00:00 AM,12,38765,103062,,,
04/01/2015 12:00:00 AM,13,30299,85025,,,
04/01/2015 12:00:00 AM,14,29536,79616,,,
04/01/2016 12:00:00 AM,1,34063,87565,,,
04/01/2016 12:00:00 AM,2,32970,94011,,,
04/01/2016 12:00:00 AM,3,33287,104148,,,
04/01/2016 12:00:00 AM,4,33152,85707,,,
04/01/2016 12:00:00 AM,5,30676,96146,,,
04/01/2016 12:00:00 AM,6,32829,87278,,,
04/01/2016 12:00:00 AM,7,41862,84171,,,
04/01/2016 12:00:00 AM,8,54490,86454,,,
04/01/2016 12:00:00 AM,9,37174,76533,,,
04/01/2016 12:00:00 AM,10,30133,77146,,,
04/01/2016 12:00:00 AM,11,36800,82636,,,
04/01/2016 12:00:00 AM,12,40632,109384,,,
04/01/2016 12:00:00 AM,13,30234,83583,,,
04/01/2016 12:00:00 AM,14,30920,80409,,,
04/01/2017 12:00:00 AM,1,34734,88622,,,
04/01/2017 12:00:00 AM,2,30303,85930,,,
04/01/2017 12:00:00 AM,3,23188,68956,,,
04/01/2017 12:00:00 AM,4,40326,97384,,,
04/01/2017 12:00:00 AM,5,26352,86172,,,
04/01/2017 12:00:00 AM,6,34208,90285,,,
04/01/2017 12:00:00 AM,7,38575,74459,,,
04/01/2017 12:00:00 AM,8,51966,88363,,,
04/01/2017 12:00:00 AM,9,41061,90386,,,
04/01/2017 12:00:00 AM,10,32300,93064,,,
04/01/2017 12:00:00 AM,11,48809,100035,,,
04/01/2017 12:00:00 AM,12,37871,101786,,,
04/01/2017 12:00:00 AM,13,32812,90372,,,
04/01/2017 12:00:00 AM,14,33887,90523,,,
04/01/2018 12:00:00 AM,1,34887,88424,,,
04/01/2018 12:00:00 AM,8,53022,91533,,,
04/01/2018 12:00:00 AM,6,34859,90782,,,
04/01/2018 12:00:00 AM,12,39847,105365,,,
04/01/2018 12:00:00 AM,14,34600,91882,,,
04/01/2018 12:00:00 AM,7,39568,76406,,,
04/01/2018 12:00:00 AM,4,40378,97609,,,
04/01/2018 12:00:00 AM,11,48837,99437,,,
04/01/2018 12:00:00 AM,9,41116,90749,,,
04/01/2018 12:00:00 AM,3,23732,69877,,,
04/01/2018 12:00:00 AM,10,32392,92891,,,
04/01/2018 12:00:00 AM,5,27773,92694,,,
04/01/2018 12:00:00 AM,13,32912,90220,,,
04/01/2018 12:00:00 AM,2,31468,89475,,,
